Graph,N nodi,Prim,Kruskal N,Kruskal,MST,,N nodi,Avg Prim,Avg Krusk N,Avg Krusk
01_10,10,0.00E+00,0.00E+00,0.00E+00,29316,,10,2.49E-04,0.00E+00,2.49E-04
02_10,10,0.00E+00,0.00E+00,0.00E+00,2126,,20,3.93E-03,0.00E+00,3.20E-03
03_10,10,9.97E-04,0.00E+00,9.97E-04,-44765,,40,2.46E-02,0.00E+00,3.53E-03
04_10,10,0.00E+00,0.00E+00,0.00E+00,20360,,80,2.24E-02,7.80E-03,1.05E-02
05_20.,20,0.00E+00,0.00E+00,1.28E-02,-32021,,100,1.77E-02,1.17E-02,1.15E-02
06_20.,20,0.00E+00,0.00E+00,0.00E+00,18596,,200,2.57E-02,1.17E-02,2.31E-02
07_20,20,1.57E-02,0.00E+00,0.00E+00,-42560,,400,4.46E-02,1.95E-02,2.26E-02
08_20,20,0.00E+00,0.00E+00,0.00E+00,-37205,,800,7.68E-02,5.08E-02,1.86E-02
09_40,40,3.28E-02,0.00E+00,6.02E-03,-122078,,1000,1.25E-01,7.03E-02,2.05E-02
10_40,40,2.25E-02,0.00E+00,6.56E-03,-37021,,2000,4.67E-01,4.30E-01,4.50E-02
11_40,40,2.73E-02,0.00E+00,0.00E+00,-79570,,4000,1.84E+00,3.02E+00,9.58E-02
12_40,40,1.57E-02,0.00E+00,1.53E-03,-79741,,8000,5.66E+00,2.00E+01,1.87E-01
13_80,80,3.13E-02,1.56E-02,1.94E-02,-139926,,10000,7.59E+00,3.43E+01,2.34E-01
14_80,80,2.16E-02,0.00E+00,1.70E-02,-211345,,20000,3.14E+01,2.86E+02,1.81E+00
15_80,80,2.08E-02,0.00E+00,2.06E-03,-110571,,40000,1.59E+02,2.26E+03,1.05E+01
16_80,80,1.57E-02,1.56E-02,3.66E-03,-233320,,80000,6.19E+02,1.77E+04,3.55E+01
17_100,100,1.56E-02,1.56E-02,1.19E-02,-141960,,100000,9.45E+02,3.53E+04,5.53E+01
18_100,100,2.03E-02,0.00E+00,1.73E-02,-271743,,,,,
19_100,100,1.86E-02,1.56E-02,1.58E-02,-288906,,,,,
20_100,100,1.63E-02,1.56E-02,9.97E-04,-232178,,,,,
21_200,200,3.13E-02,1.56E-02,2.13E-02,-510185,,,,,
22_200,200,3.22E-02,1.56E-02,3.83E-02,-515136,,,,,
23_200,200,6.41E-03,1.56E-02,1.57E-02,-444357,,,,,
24_200,200,3.27E-02,0.00E+00,1.69E-02,-393278,,,,,
25_400,400,3.99E-02,1.56E-02,2.95E-02,-1122919,,,,,
26_400,400,4.66E-02,1.56E-02,1.22E-02,-788168,,,,,
27_400,400,4.69E-02,1.56E-02,3.30E-02,-895704,,,,,
